In:room_width,In:room_depth,In:transmittance,In:louver_depth,Out:AVG_DF,Out:MIN_DF,Out:MAX_DF,Out:UNIFORMITY_RATIO,Img:Perspective
7,7,0.45,0.3,0.96689,0.212498,3.49737,0.219775,room_width_7_room_depth_7_transmittance_0.45_louver_depth_0.3.png
3,3,0.55,0.3,2.020469,0.585377,4.364775,0.289723,room_width_3_room_depth_3_transmittance_0.55_louver_depth_0.3.png
4,3,0.55,0.3,2.126478,0.489832,4.398882,0.230349,room_width_4_room_depth_3_transmittance_0.55_louver_depth_0.3.png
5,3,0.55,0.3,2.210722,0.447781,4.566104,0.20255,room_width_5_room_depth_3_transmittance_0.55_louver_depth_0.3.png
6,3,0.55,0.3,2.245078,0.431781,4.647168,0.192323,room_width_6_room_depth_3_transmittance_0.55_louver_depth_0.3.png
7,3,0.55,0.3,2.28167,0.41547,4.560254,0.18209,room_width_7_room_depth_3_transmittance_0.55_louver_depth_0.3.png
3,4,0.55,0.3,1.636647,0.542546,4.309199,0.331499,room_width_3_room_depth_4_transmittance_0.55_louver_depth_0.3.png
4,4,0.55,0.3,1.673875,0.365422,4.400701,0.218309,room_width_4_room_depth_4_transmittance_0.55_louver_depth_0.3.png
5,4,0.55,0.3,1.806664,0.387406,4.453488,0.214432,room_width_5_room_depth_4_transmittance_0.55_louver_depth_0.3.png
6,4,0.55,0.3,1.847698,0.362708,4.485779,0.196303,room_width_6_room_depth_4_transmittance_0.55_louver_depth_0.3.png
7,4,0.55,0.3,1.887909,0.345363,4.602561,0.182934,room_width_7_room_depth_4_transmittance_0.55_louver_depth_0.3.png
3,5,0.55,0.3,1.376099,0.452969,4.359017,0.329169,room_width_3_room_depth_5_transmittance_0.55_louver_depth_0.3.png
4,5,0.55,0.3,1.462138,0.409916,4.416966,0.280354,room_width_4_room_depth_5_transmittance_0.55_louver_depth_0.3.png
5,5,0.55,0.3,1.518846,0.354084,4.415787,0.233127,room_width_5_room_depth_5_transmittance_0.55_louver_depth_0.3.png
6,5,0.55,0.3,1.557501,0.321187,4.481849,0.206219,room_width_6_room_depth_5_transmittance_0.55_louver_depth_0.3.png
7,5,0.55,0.3,1.590792,0.302221,4.487764,0.189981,room_width_7_room_depth_5_transmittance_0.55_louver_depth_0.3.png
3,6,0.55,0.3,1.16297,0.306058,4.405326,0.263169,room_width_3_room_depth_6_transmittance_0.55_louver_depth_0.3.png
4,6,0.55,0.3,1.247881,0.382261,4.393079,0.306328,room_width_4_room_depth_6_transmittance_0.55_louver_depth_0.3.png
5,6,0.55,0.3,1.30651,0.3359,4.390578,0.257097,room_width_5_room_depth_6_transmittance_0.55_louver_depth_0.3.png
6,6,0.55,0.3,1.33782,0.299771,4.477678,0.224075,room_width_6_room_depth_6_transmittance_0.55_louver_depth_0.3.png
7,6,0.55,0.3,1.37455,0.276889,4.521538,0.20144,room_width_7_room_depth_6_transmittance_0.55_louver_depth_0.3.png
3,7,0.55,0.3,1.02179,0.216601,4.363608,0.211982,room_width_3_room_depth_7_transmittance_0.55_louver_depth_0.3.png
4,7,0.55,0.3,1.090764,0.274416,4.329811,0.251582,room_width_4_room_depth_7_transmittance_0.55_louver_depth_0.3.png
